WORDS,CHATGPT,OED,DEF_YEAR,OLD_DEF,NEW_DEF
brothers,0,0,1428,,
legislation,0,0,1606,,
policies,0,1,1857,,
commander,0,1,1881,,
habit,0,0,1753,,
jury,0,0,1667,,
campaign,0,0,1692,,
stars,0,0,1710,,
index,0,0,1720,,
expenses,0,1,1909,,
bay,0,1,1906,,
suit,0,0,1431,,
programs,0,0,1834,,
equations,0,0,1393,,
variation,0,0,1405,,
burden,0,1,1897,,
layer,0,0,1831,,
atlantic,0,0,1387,,
mode,0,0,1654,,
reform,0,0,1606,,
audience,0,0,1387,,
francisco,0,0,Old English,,
file,0,1,1851,,
lips,0,1,1982,,
millions,0,0,1390,,
voltage,0,1,1890,,
muscles,0,0,1802,,
gods,0,0,1574,,
wishes,0,0,1390,,
steam,0,0,1577,,
decrease,0,0,1383,,
bridge,0,1,1908,,
bishop,0,0,1727,,
execution,0,0,1565,,
legs,0,0,1587,,
decade,0,0,1600,,
custom,0,0,1392,,
ice,0,1,1950,,
railroad,0,0,1829,,
directors,0,1,1892,,
statements,0,1,1931,,
hills,0,0,1552,,
australia,0,0,Old English,,
courage,0,0,1614,,
profits,0,0,1330,,
bone,0,1,1889,,
store,0,0,1384,,
appointment,0,0,1440,,
peter,0,1,1869,,
artist,0,0,1603,,
los,0,1,1969,,
load,0,0,1781,,
breath,0,0,1459,,
directions,0,0,1407,,
witness,0,0,1300,,
pair,0,1,1867,,
violence,0,0,1592,,
magnitude,0,0,1425,,
profession,0,0,1225,,
iv,0,1,1951,,
everyone,0,0,1250,,
churches,0,1,1939,,
hole,0,0,1221,,
mission,0,0,1692,,
thirds,0,0,1455,,
reserve,0,0,1815,,
approval,0,0,1690,,
variables,0,0,1387,,
dog,0,0,1835,,
tissue,0,0,1483,,
darkness,0,0,Old English,,
intensity,0,0,1665,,
fortune,0,0,1600,,
scotland,0,0,Old English,,
density,0,0,1603,,
beings,0,0,1330,,
conclusions,0,0,1374,,
shoulder,0,0,1300,,
citizen,0,0,1686,,
michigan,0,0,1814,,
officials,0,1,1884,,
cotton,0,0,1840,,
tongue,0,0,1388,,
fort,0,1,1867,,
throne,0,0,1449,,
hydrogen,0,0,1791,,
printing,0,0,1700,,
fashion,0,0,1727,,
gift,0,1,1984,,
hotel,0,1,1852,,
snow,0,0,1676,,
skill,0,0,1600,,
notion,0,0,1641,,
canal,0,0,1792,,
pupils,0,0,1599,,
clause,0,1,1895,,
background,0,0,1768,,
qualities,0,0,1813,,
conviction,0,0,1491,,
civilization,0,0,1656,,
sales,0,0,1809,,
fault,0,0,1377,,
rays,0,1,1889,,
relationships,0,0,1724,,
computer,0,0,1613,,
club,0,0,1593,,
pope,0,0,1781,,
flesh,0,0,1530,,
shares,0,0,1735,,
compensation,0,0,1387,,
park,0,0,1601,,
enemies,0,1,1864,,
treasury,0,1,1856,,
machinery,0,0,1687,,
contents,0,0,1578,,
fruit,0,0,1377,,
manufacture,0,0,1648,,
publishing,0,0,1450,,
regulation,0,0,1611,,
fate,0,1,1876,,
entrance,0,0,1569,,
macmillan,0,0,Old English,,
engine,0,0,1522,,
representation,0,0,1805,,
guard,0,0,1767,,
location,0,0,1568,,
sacrifice,0,0,1290,,
respects,0,0,1487,,
positions,0,0,1647,,
finance,0,0,1566,,
jersey,0,0,1583,,
angles,0,1,1874,,
count,0,1,1854,,
fluid,0,0,1603,,
prayer,0,0,1382,,
slave,0,0,1789,,
row,0,1,1949,,
thanks,0,0,Old English,,
cash,0,0,1829,,
copper,0,1,1872,,
negro,0,0,1555,,
david,0,0,Old English,,
edward,0,0,1616,,
goal,0,0,1815,,
wales,0,0,1636,,
cycle,0,1,1878,,
ray,0,1,1889,,
opinions,0,0,1555,,
clothes,0,0,Old English,,
separation,0,0,1413,,
cry,0,0,1275,,
hundreds,0,0,Old English,,
alcohol,0,0,1543,,
richard,0,0,1572,,
accident,0,0,1450,,
worship,0,0,1200,,
particles,0,0,1616,,
wine,0,1,1988,,
tables,0,0,1450,,
masses,0,1,1965,,
travel,0,0,1400,,
colony,0,0,1790,,
customs,0,0,1392,,
quantities,0,0,1325,,
sheet,0,0,1817,,
techniques,0,0,1817,,
hearts,0,0,Old English,,
windows,0,0,1616,,
nose,0,0,1577,,
assets,0,0,1325,,
johnson,0,1,1863,,
homes,0,1,1971,,
statistics,0,0,1770,,
experiences,0,0,1541,,
membrane,0,0,1425,,
languages,0,0,1628,,
pocket,0,0,1631,,
leadership,0,0,1821,,
quarters,0,0,1387,,
sunday,0,1,1892,,
waste,0,0,1386,,
song,0,0,1657,,
baby,0,0,1744,,
berlin,0,0,1694,,
yield,0,0,Old English,,
crowd,0,1,1880,,
blow,0,0,1788,,
ministers,0,0,1340,,
participation,0,0,1398,,
components,0,0,1563,,
colour,0,0,1707,,
equilibrium,0,0,1608,,
film,0,0,1604,,
rooms,0,0,1578,,
formula,0,0,1638,,
rocks,0,1,1854,,
sand,0,0,1625,,
writings,0,0,Old English,,
dozen,0,0,1487,,
attorney,0,1,1876,,
removal,0,0,1595,,
prison,0,0,1225,,
equality,0,0,1398,,
palace,0,0,1660,,
muscle,0,0,1802,,
provinces,0,0,1382,,
consumption,0,0,1398,,
continent,0,0,1494,,
van,0,1,1927,,
ball,0,1,1955,,
documents,0,0,1648,,
obligation,0,0,1325,,
gospel,0,0,Old English,,
theatre,0,1,1896,,
dispute,0,0,1593,,
confusion,0,0,1290,,
woods,0,1,1925,,
era,0,1,1970,,
sector,0,1,1881,,
engineering,0,1,1863,,
diagnosis,0,0,1681,,
entry,0,0,1325,,
yards,0,0,1758,,
enterprise,0,0,1473,,
hell,0,0,1738,,
focus,0,0,1776,,
fever,0,0,1450,,
punishment,0,0,1402,,
poems,0,0,1487,,
agencies,0,0,1600,,
transportation,0,0,1540,,
stomach,0,0,1523,,
depression,0,0,1400,,
trace,0,0,1796,,
h,0,1,1950,,
pride,0,0,1330,,
indication,0,0,1541,,
roof,0,1,1851,,
laboratory,0,0,1592,,
liver,0,0,1825,,
sphere,0,0,1607,,
occupation,0,0,1325,,
ears,0,0,1847,,
fingers,0,0,1425,,
reputation,0,0,1390,,
poverty,0,0,1225,,
meetings,0,0,Old English,,
organs,0,1,1887,,
christianity,0,0,1300,,
phenomena,0,0,1583,,
pictures,0,0,1490,,
acids,0,0,1626,,
mississippi,0,0,1728,,
farmers,0,0,1325,,
cup,0,0,1825,,
drug,0,0,1726,,
servant,0,1,1858,,
inquiry,0,0,1440,,
acceptance,0,0,1528,,
trip,0,1,1909,,
g,0,1,1948,,
remainder,0,0,1412,,
rivers,0,0,1531,,
cloth,0,0,1582,,
facilities,0,0,1425,,
technique,0,0,1817,,
cooperation,0,0,1495,,
noise,0,0,1393,,
cents,0,0,1555,,
grass,0,0,1793,,
genius,0,0,1387,,
sodium,0,0,1808,,
protein,0,0,1844,,
decades,0,0,1600,,
discharge,0,0,1390,,
roads,0,0,1841,,
signal,0,0,1800,,
shoulders,0,0,1300,,
infection,0,0,1398,,
ring,0,0,1662,,
payments,0,0,1778,,
parent,0,0,1663,,
lords,0,0,1823,,
wire,0,0,1406,,
grade,0,0,1563,,
societies,0,0,1513,,
corn,0,0,1693,,
slaves,0,0,1559,,
situations,0,0,1425,,
variations,0,0,1405,,
gravity,0,0,1509,,
charges,0,0,1250,,
loan,0,0,1836,,
commissioner,0,0,1414,,
occasions,0,0,1540,,
cattle,0,0,1275,,
violation,0,0,1433,,
saint,0,0,1555,,
earl,0,0,1480,,
map,0,1,1984,,
substances,0,0,1330,,
opportunities,0,0,1387,,
germans,0,0,Old English,,
star,0,0,1710,,
doors,0,0,Old English,,
accuracy,0,0,1644,,
instructions,0,0,1410,,
sympathy,0,0,1615,,
answers,0,0,Old English,,
waves,0,1,1942,,
electron,0,1,1891,,
summary,0,0,1509,,
securities,0,0,1425,,
magazine,0,0,1763,,
offices,0,0,1449,,
roots,0,0,1846,,
supplies,0,0,1701,,
gentlemen,0,0,1222,,
frame,0,0,1400,,
wars,0,0,1687,,
identity,0,0,1545,,
eggs,0,0,1834,,
plenty,0,0,1250,,
agents,0,0,1841,,
habits,0,0,1366,,
dress,0,0,1450,,
phenomenon,0,0,1583,,
judges,0,0,1350,,
employer,0,0,1595,,
hypothesis,0,0,1596,,
sword,0,0,1640,,
acres,0,0,Old English,,
faculty,0,0,1382,,
chain,0,0,1377,,
readers,0,0,Old English,,
meat,0,0,1610,,
k,0,1,1999,,
hat,0,0,1721,,
essence,0,0,1635,,
version,0,0,1715,,
murder,0,0,1658,,
wage,0,0,1686,,
soldier,0,0,1647,,
duration,0,0,1384,,
shadow,0,0,Old English,,
departments,0,1,1885,,
servants,0,0,1616,,
validity,0,0,1553,,
districts,0,0,1792,,
austria,0,0,Old English,,
angeles,0,0,Old English,,
dignity,0,0,1225,,
comfort,0,0,1290,,
wisconsin,0,1,1895,,
translation,0,0,1382,,
transition,0,1,1877,,
priest,0,0,1475,,
kitchen,0,1,1918,,
alliance,0,0,1533,,
border,0,0,1776,,
princeton,0,1,1965,,
bones,0,1,1869,,
circulation,0,0,1535,,
harm,0,0,Old English,,
residence,0,0,1693,,
radio,0,1,1919,,
incident,0,1,1855,,
indies,0,1,1956,,
bird,0,1,1897,,
arguments,0,0,1747,,
moments,0,0,1661,,
exceptions,0,0,1845,,
lincoln,0,1,1952,,
conscience,0,0,1225,,
joseph,0,0,1659,,
findings,0,0,Old English,,
shop,0,1,1997,,
attitudes,0,0,1668,,
physician,0,0,1825,,
privilege,0,0,1325,,
fleet,0,1,1880,,
essays,0,0,1597,,
tea,0,0,1810,,
illness,0,0,1500,,
spirits,0,0,1598,,
considerations,0,0,1386,,
mechanism,0,0,1662,,
manager,0,0,1598,,
phrase,0,0,1540,,
kings,0,0,1425,,
passion,0,0,1728,,
band,0,0,1672,,
wilson,0,1,1917,,
finger,0,0,1425,,
harper,0,0,1586,,
bond,0,1,1884,,
instruments,0,0,1623,,
delay,0,0,1624,,
publications,0,0,1387,,
telephone,0,1,1877,,
atoms,0,0,1779,,
limitations,0,0,1405,,
liability,0,0,1794,,
interaction,0,0,1832,,
ladies,0,1,1918,,
thickness,0,1,1978,,
unions,0,0,1475,,
debate,0,0,1658,,
household,0,0,1382,,
sets,0,1,1962,,
diet,0,0,1471,,
coat,0,1,1884,,
charter,0,0,1600,,
climate,0,0,1849,,
boundary,0,0,1626,,
friendship,0,0,Old English,,
communities,0,0,1395,,
clerk,0,0,1822,,
ease,0,0,1582,,
gun,0,0,1622,,
dust,0,0,1611,,
guns,0,0,1622,,
threat,0,0,1400,,
humanity,0,0,1384,,
interval,0,0,1630,,
painting,0,0,1577,,
suggestion,0,0,1340,,
contributions,0,0,1387,,
solutions,0,1,1891,,
wheat,0,0,1847,,
fathers,0,0,1425,,
speaker,0,0,1303,,
newspaper,0,0,1703,,
cabinet,0,0,1632,,
worker,0,0,1382,,
faces,0,0,1440,,
expedition,0,0,1430,,
objection,0,0,1425,,
gulf,0,0,1549,,
theories,0,0,1588,,
housing,0,0,1810,,
grain,0,1,1892,,
missouri,0,0,1698,,
copyright,0,1,1878,,
departure,0,0,1515,,
testimony,0,0,1642,,
molecules,0,0,1701,,
mercy,0,0,1645,,
gate,0,1,1973,,
membership,0,0,1643,,
harmony,0,0,1384,,
intervals,0,0,1630,,
owners,0,0,Old English,,
sheep,0,0,1808,,
illustration,0,0,1480,,
candidate,0,0,1848,,
desk,0,0,1846,,
employee,0,1,1862,,
mines,0,0,1661,,
structures,0,0,1664,,
errors,0,0,1828,,
senses,0,0,1564,,
glance,0,1,1894,,
prisoners,0,0,1450,,
breach,0,0,1547,,
disposal,0,0,1630,,
adoption,0,0,1340,,
markets,0,0,1455,,
appeals,0,0,1330,,
commonwealth,0,0,1445,,
universities,0,0,1680,,
tribes,0,0,1696,,
coffee,0,1,1851,,
colleges,0,0,1819,,
newspapers,0,0,1703,,
width,0,0,1708,,
transport,0,0,1485,,
chemistry,0,0,1605,,
reflection,0,0,1398,,
publishers,0,0,1453,,
discipline,0,0,1300,,
prosperity,0,0,1225,,
rent,0,1,1968,,
electrons,0,1,1891,,
tons,0,0,1769,,
arrangements,0,0,1715,,
shakespeare,0,1,1896,,
measurement,0,0,1325,,
assistant,0,0,1400,,
beam,0,0,1430,,
ownership,0,0,1583,,
perception,0,0,1398,,
pipe,0,1,1865,,
knees,0,0,Old English,,
document,0,0,1648,,
reactions,0,0,1585,,
evaluation,0,0,1755,,
patterns,0,0,1567,,
marks,0,1,1850,,
block,0,0,1800,,
theme,0,0,1594,,
morrow,0,0,1839,,
discretion,0,0,1325,,
fraction,0,0,1841,,
defeat,0,0,1553,,
baltimore,0,0,1669,,
outcome,0,0,1592,,
petition,0,0,1607,,
obligations,0,0,1325,,
villages,0,0,1819,,
colonel,0,0,1687,,
bulletin,0,0,1838,,
cancer,0,0,1824,,
jobs,0,0,1843,,
dollar,0,0,1553,,
votes,0,0,1827,,
avenue,0,1,1865,,
temperatures,0,0,1531,,
drugs,0,0,1616,,
procedures,0,0,1577,,
flight,0,0,1847,,
skills,0,0,1600,,
tract,0,0,1780,,
radiation,0,0,1500,,
component,0,0,1563,,
breast,0,0,1486,,
objectives,0,0,1490,,
portions,0,0,1400,,
jerusalem,0,0,1382,,
preservation,0,0,1425,,
stones,0,0,1175,,
proceeds,0,0,1450,,
hopes,0,0,Old English,,
storm,0,0,1440,,
organism,0,0,1701,,
cord,0,0,1598,,
cm,0,1,1946,,
smoke,0,0,Old English,,
devil,0,0,1593,,
bell,0,1,1925,,
shri,0,0,1800,,
shift,0,0,1325,,
sounds,0,0,1611,,
interview,0,0,1548,,
offence,0,0,1512,,
route,0,1,1893,,
metals,0,0,1578,,
succession,0,0,1325,,
federation,0,0,1652,,
practices,0,0,1421,,
references,0,0,1623,,
damages,0,0,1400,,
physics,0,0,1487,,
tissues,0,0,1483,,
alexander,0,1,1920,,
volumes,0,0,1815,,
proposal,0,0,1597,,
traffic,0,1,1997,,
nobody,0,0,1400,,
copies,0,0,1530,,
correspondence,0,0,1413,,
elizabeth,0,0,1710,,
daughters,0,0,Old English,,
slope,0,1,1859,,
occurrence,0,0,1539,,
diagram,0,0,1841,,
voyage,0,1,1931,,
chest,0,0,1473,,
fuel,0,0,1593,,
tension,0,1,1891,,
greece,0,0,1380,,
laugh,0,0,1592,,
expenditure,0,0,1769,,
urine,0,0,1763,,
concepts,0,0,1603,,
wing,0,0,1567,,
sequence,0,1,1954,,
fruits,0,0,1377,,
correlation,0,0,1561,,
engineers,0,0,1738,,
assessment,0,0,1540,,
zealand,0,0,Old English,,
mcgraw,0,0,Old English,,
census,0,1,1881,,
negotiations,0,0,1500,,
privileges,0,0,1325,,
dance,0,0,1300,,
taxation,0,0,1325,,
controversy,0,0,1593,,
clothing,0,0,1582,,
categories,0,0,1588,,
anxiety,0,0,1475,,
ignorance,0,0,1225,,
appreciation,0,0,1475,,
weakness,0,0,1300,,
tools,0,0,1812,,
martin,0,1,1884,,
instant,0,0,1687,,
cape,0,1,1867,,
oath,0,0,1425,,
affair,0,0,1390,,
wound,0,0,1550,,
dioxide,0,0,1847,,
essay,0,0,1597,,
childhood,0,0,Old English,,
nucleus,0,0,1826,,
mathematics,0,0,1661,,
strain,0,1,1853,,
models,0,0,1581,,
courses,0,0,1650,,
bath,0,1,1955,,
throat,0,0,1611,,
manufacturing,0,0,1722,,
subsection,0,0,1621,,
corps,0,1,1909,,
apparatus,0,0,1628,,
organ,0,1,1887,,
affection,0,0,1570,,
nitrogen,0,0,1791,,
possibilities,0,0,1385,,
lieutenant,0,0,1377,,
recovery,0,0,1422,,
logic,0,0,1570,,
loans,0,0,1836,,
pound,0,0,1570,,
implications,0,0,1430,,
sisters,0,0,1609,,
sociology,0,0,1842,,
stanford,0,0,Old English,,
minority,0,0,1493,,
ml,1,1,1928,1928–,
counsel,0,0,1290,c1290–,
exports,0,0,1690,1690–,
tale,0,0,1588,1588–,
budget,0,0,1618,1618–,
praise,0,0,1574,1574–,
drama,0,0,1521,?1521–,
crops,0,0,1225,?c1225–,
returns,0,0,1413,a1413–,
developments,0,0,1724,1724–,
kansas,0,1,1972,1972–,
stability,0,0,1400,a1400–,
christians,0,0,1534,1534–,
supervision,0,0,1475,c1475–,
delivery,0,0,1327,1327–,
infant,0,0,1642,1483–1642,
excuse,0,0,1374,c1374–,
st,1,0,1797,1797–,
mill,0,1,1877,1877–,
leg,0,0,1691,1691,
tail,0,0,1770,1770–,
elections,0,0,1270,c1270–,
outbreak,0,1,1903,1903–,
therapy,0,0,1846,1846–,
hero,0,1,1869,1762–,
conquest,0,0,1670,c1330–1670,
gap,0,0,1847,1847–,
radius,0,1,1935,1935–,
input,0,0,1839,1839–,
pity,0,0,1475,?a1475–,
invasion,0,0,1539,1539–,
disposition,0,0,1374,c1374–,
poland,0,1,1881,1881–,
nerves,0,0,1532,1532–,
passages,0,0,1791,1791–,
vi,0,0,1200,a1200–,
trustees,0,0,1818,1818–,
item,0,0,1601,1601–,
poets,0,0,1382,a1382–,
goals,0,0,1815,1815–,
imprisonment,0,0,1389,1389–,
proposition,0,1,1922,1922–,
santa,0,0,1773,1773–,
masters,0,0,1827,1827–,
thesis,0,0,1398,a1398–,
cylinder,0,1,1887,1887–,
consumer,0,0,1425,c1425–,
perspective,0,0,1812,1812–,
personnel,0,0,1814,1814–,
phases,0,1,1904,1904–,
zone,0,0,1792,1792–,
applications,0,0,1398,a1398–,
device,0,0,1528,1528–,
territories,0,0,1477,1477–81,
realm,0,0,1300,c1300–,
salvation,0,0,1225,?c1225–,
coefficient,0,0,1665,1665–,
georgia,0,0,1796,1796–,
jones,0,1,1971,1971–,
uncle,0,0,1653,1653–,
verse,0,1,1984,1984–,
remarks,0,1,1983,1983–,
mirror,0,0,1410,?1410–,
plates,0,0,1425,c1425–,
farmer,0,0,1325,a1325–,
natives,0,0,1381,1381–,
stairs,0,0,1513,a1400–1513,
bulk,0,0,1863,1382–1863,
columns,0,0,1839,1839–,
souls,0,0,Old English,Old Engilish,
wheel,0,0,1707,c1440–1707,
ranks,0,0,1867,1709,
tower,0,1,1894,1894–,
fool,0,0,1598,1598–,
symbol,0,0,1832,1832–,
factory,0,0,1560,1560–,
release,0,0,1823,1823–,
admission,0,0,1423,1423–,
corporations,0,0,1439,1439–,
partnership,0,0,1576,1576–,
exposure,0,0,1609,1609–,
card,0,0,1653,1653–,
debts,0,0,1225,?c1225–,
host,0,0,1787,1297–1787,
achievement,0,0,1477,1477–,
lawyer,0,0,1797,1797–,
artery,0,1,1843,1843–,
team,0,0,1552,1552–,
wives,0,0,Old English,OLD English–,
mystery,0,0,1390,c1390–,
adjustment,0,0,1644,1644–,
absorption,0,0,1597,1597–,
generations,0,0,1325,a1325–,
seed,0,0,Old English,OLD English–,
firms,0,1,1875,1500–1875,
desert,0,0,1600,1600–,
deposits,0,0,1634,1634–,
shock,0,1,1911,1831–,
screen,0,1,1916,1789–1916,
calcium,0,1,1808,1808–,
architecture,0,1,1838,1838–,
media,0,1,1923,1923–,
losses,0,0,1624,1481–1624,
castle,0,0,1386,c1386–,
manners,0,0,1225,a1225–,
currency,0,0,1623,1623–,
margin,0,0,1669,1669–,
adams,0,1,1983,1983–,
allies,0,1,1977,1977–,
weapons,0,0,Old English,Old English–,
pole,0,1,1961,1961–,
challenge,0,0,1314,c1314–,
chapel,0,1,1946,1946–,
delight,0,0,1225,?c1225–,
remedy,0,0,1414,1414–,
frontier,0,0,1579,1579–,
adults,0,0,1909,1909–,
j,0,1,1973,1973–,
prospect,0,0,1834,1834–,
divisions,0,0,1374,c1374–,
compounds,0,0,1679,1679–,
completion,0,0,1657,1657–,
holland,0,1,1896,1896–,
moscow,0,1,1920,1920–,
commissioners,0,0,1414,1414–,
prisoner,0,0,1450,a1325–1450,
atom,0,0,1779,1745–,
wiley,0,0,1330,c1330–,
manuscript,0,0,1597,1597–,
trend,0,0,1640,a1640–,
contracts,0,0,1530,1530–,
crop,0,1,1957,1957–,
channel,0,0,1672,1672–,
certificate,0,0,1818,1818–,
seas,0,0,1839,1839–,
berkeley,0,1,1899,1899–,
projects,0,0,1477,1477–,
measurements,0,0,1325,a1325–,
stranger,0,0,1608,1608–,
transactions,0,0,1460,c1460–,
suggestions,0,0,1340,a1340–,
certainty,0,0,1303,1303–,
lease,0,1,1884,1884–,
orleans,0,0,1536,1536–,
bottle,0,0,1611,1611–,
clay,0,0,1884,1567–,
roosevelt,0,1,1897,1897–,
bacteria,0,1,1849,1849–,
bills,0,1,1969,1969–,
framework,0,0,1578,1578–,
images,0,0,1390,c1390–,
netherlands,0,0,Old English,Not found in oed,
penalty,0,0,1455,1455–,
spectrum,0,0,1611,1611–,
clergy,0,0,1225,a1225–,
network,0,0,1845,1845–,
florida,0,0,1840,1840–,
behaviour,0,0,1490,1490–,
classification,0,0,1767,1767–,
foundations,0,0,1661,1661,
track,0,0,1727,1727–,
partner,0,0,1616,a1616–,
ions,0,0,1834,1834–,
survival,0,0,1598,1598–,
pupil,0,0,1599,1599–,
illustrations,0,0,1480,c1480–,
commodities,0,0,1389,1389–,
accord,0,0,1500,a1413–1500,
imports,0,0,1548,1548–,
indiana,0,0,1818,1818–,
yard,0,0,1758,1758–,
witnesses,0,0,1300,a1300–,
eve,0,1,1889,1725–1889,
premises,0,0,1450,c1450–,
iowa,0,0,Old English,not found in oed,
client,0,0,1393,a1393–,
plot,0,1,1885,1885,
appendix,0,0,1757,1757–,
intervention,0,0,1425,c1425–,
export,0,0,1690,1690–,
haven,0,0,1384,c1384–,
minnesota,0,1,1910,1910–,
sentences,0,0,1400,c1400–,
greeks,0,0,1825,1615–1825,
interference,0,0,1783,1783–,
cavity,0,0,1541,?1541–,
associations,0,0,1535,1535–,
philip,0,0,1530,1530–,
desires,0,0,1303,1303–,
electricity,0,0,1646,1646–,
autumn,0,0,1661,1661–,
particle,0,0,1616,1616–50,
maryland,0,0,1702,1702–,
everybody,0,0,1405,c1405–,
sins,0,1,1958,1958–,
acquaintance,0,0,1230,c1230–,
merchant,0,0,1893,c1400–1893,
meal,0,0,1709,,
merits,0,0,1484,,
regret,0,0,1500,,
mayor,0,0,1575,,
peasants,0,0,1598,,
wings,0,0,1486,,
estimates,0,0,1565,,
pace,0,1,1985,,
vicinity,0,0,1560,,
concerns,0,0,1589,,
guidance,0,0,1548,,
sovereignty,0,0,1340,,
rotation,0,0,1500,,
armies,0,0,1425,,
anger,0,0,1325,,
yale,0,1,1869,1869,
surrender,0,0,1487,,
fee,0,1,1883,1883,
organisms,0,0,1701,,
outline,0,0,1790,,
remark,1,1,1983,,
curves,0,0,1609,,
egg,0,0,1834,,
regime,0,0,1475,,
resort,0,0,1836,,
regards,0,0,1348,,
